Region_Name,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24,Month 25,Month 26,Month 27,Month 28,Month 29,Month 30,Month 31,Month 32,Month 33,Month 34,Month 35,Month 36,Month 37,Month 38,Month 39,Month 40,Month 41,Month 42,Month 43,Month 44,Month 45,Month 46,Month 47,Month 48,Month 49,Month 50,Month 51,Month 52,Month 53,Month 54,Month 55,Month 56,Month 57,Month 58,Month 59,Month 60,Month 61,Month 62,Month 63,Month 64,Month 65,Month 66,Month 67,Month 68,Month 69,Month 70,Month 71,Month 72
Region 1,0.1543245,0.122900762,0.127582778,0.501556809,0.103551004,0.051983348,0.14027175,0.157586219,0.182546265,0.181801139,-0.013495568,0.213958137,0.202584554,0.256381304,0.327656008,0.277943595,0.20062283,0.141673204,0.133457062,0.092708141,0.124225312,0.199408681,0.21158379,0.256087657,0.046845207,0.05022351,0.044738229,0.04960181,0.185712847,0.141932711,0.032244437,0.101613543,0.202953333,0.185603836,0.083222397,0.097903557,0.241120347,0.264635835,0.253286318,0.422998892,0.464442133,0.316720277,0.22431353,0.338289198,0.37835167,0.520046195,0.391280342,0.314726359,0.270200411,0.362764835,0.376728136,0.394985834,0.347692034,0.351116516,0.37512038,0.289648674,0.372379191,0.398122331,0.362610296,0.26376623,0.275621955,0.252173296,0.336912674,0.321828391,0.321894625,0.337018224,0.121581182,0.234171298,0.294692564,0.373753686,0.333641704,0.242175876
Region 2,0.119707961,0.119831174,0.112970113,0.32604915,0.098852473,0.041501844,0.116758696,0.136964211,0.178475677,0.162621365,-0.017723101,0.227957946,0.181562694,0.247474693,0.488062323,0.290771785,0.196145769,0.139117484,0.10801381,0.091058586,0.122529157,0.202529518,0.206453953,0.243915934,0.030215964,0.057625398,0.037566887,0.047221405,0.175259915,0.121241276,-0.009892742,0.066981183,0.191505115,0.170094962,0.057635237,0.075967944,0.216269873,0.233841116,0.2454324,0.407445191,0.437820386,0.332396791,0.238877179,0.318503327,0.366288311,0.50221909,0.360538435,0.294045103,0.241369645,0.334915247,0.359444161,0.378980318,0.30655747,0.350775112,0.342869108,0.272033614,0.344482208,0.372061367,0.318767176,0.221102228,0.221851338,0.191496148,0.283412314,0.302669013,0.306597158,0.327412137,0.124562833,0.218367398,0.275178753,0.344996887,0.300503016,0.215146822
Region 3,0.178236475,0.165497477,0.190754444,0.321733079,0.203126437,0.048344621,0.180063783,0.176990031,0.224172785,0.223810103,0.07030606,0.314093568,0.253626718,0.31700699,0.493547671,0.356269458,0.301312388,0.295783448,0.213944002,0.225559706,0.19962786,0.295160546,0.301142125,0.369074151,0.148873128,0.148647965,0.141285854,0.176594626,0.298080623,0.247686295,0.073358218,0.167070715,0.369197704,0.273284568,0.166521933,0.232556128,0.324115274,0.337240364,0.328819642,0.488370946,0.452943213,0.299716934,0.276885505,0.353269151,0.391376324,0.575887912,0.412833869,0.404446025,0.315161246,0.413679186,0.436428234,0.452330098,0.3555332,0.397592297,0.429922306,0.315471044,0.425692584,0.437531792,0.401875819,0.320588414,0.310556573,0.285627144,0.33198779,0.377642619,0.384989902,0.362926852,0.230516293,0.263642872,0.296750557,0.400268594,0.360406473,0.335922864
Region 4,0.225015547,0.220602252,0.224240171,0.330915954,0.26893366,0.171322383,0.243672393,0.219831359,0.242115207,0.227575406,0.068485651,0.300099918,0.260219943,0.339176337,0.408421926,0.36763086,0.374176092,0.385318569,0.200377113,0.308989404,0.264774664,0.300381979,0.328012553,0.395487177,0.20411191,0.21032679,0.230463943,0.254439627,0.428538531,0.309254014,0.15524144,0.227263226,0.471487732,0.294127595,0.162800433,0.191990008,0.303951439,0.360913514,0.397259376,0.534679102,0.493992499,0.373266332,0.296718648,0.367476853,0.400148788,0.625336403,0.415876015,0.373173572,0.30503982,0.419634144,0.40896497,0.453474805,0.325200748,0.445034364,0.414192137,0.308857284,0.381268277,0.432136206,0.36637647,0.264211087,0.27188748,0.248868741,0.315252094,0.329762247,0.352229255,0.368513822,0.192878187,0.228902373,0.29150191,0.36487442,0.311379238,0.271102394
Region 5,0.318975814,0.316835454,0.32848608,0.483001379,0.380897635,0.292073997,0.268394762,0.326809062,0.344086055,0.278256627,0.187873505,0.588132282,0.376303098,0.429040087,0.484136242,0.547734627,0.458579574,0.588120707,0.336757738,0.398323687,0.404608567,0.351203736,0.421710688,0.620373606,0.446480543,0.354543007,0.378399395,0.423216188,0.478112896,0.386218357,0.32320194,0.331631448,0.547655825,0.383964224,0.2267948,0.392175141,0.430363899,0.439188103,0.421460267,0.672617028,0.556797078,0.527480668,0.380317563,0.42901383,0.463006536,0.671207789,0.487795376,0.500731138,0.328601465,0.450883863,0.471953369,0.506875522,0.388456704,0.417774672,0.470368454,0.363075241,0.41061397,0.482597783,0.408525283,0.381366514,0.336923053,0.28882971,0.366313985,0.392924264,0.370159232,0.422586711,0.282630994,0.289498408,0.368922919,0.416526662,0.37252336,0.392835328
Region 6,0.049922211,0.082336634,0.083181913,0.156701023,0.013288923,0.060134447,0.056030641,0.117734514,0.149828938,0.129654941,-0.06514568,0.13302889,0.101860094,0.204840379,0.158489967,0.129519691,0.169005552,0.108242241,0.076737998,0.038956119,0.076493,0.174054615,0.155285688,0.144482791,-0.033985205,0.013310624,-0.009734074,-0.03566438,0.103336573,0.059906194,0.019013619,0.020394622,0.084682416,0.130674412,-0.025934774,-0.011911533,0.134987867,0.164804693,0.179644036,0.26192724,0.401560091,0.283419783,0.212354386,0.284522578,0.331181247,0.477828825,0.315518102,0.195858774,0.176947751,0.25141119,0.288216454,0.323614377,0.265109257,0.308349643,0.286102551,0.233830192,0.272708944,0.325161716,0.247051395,0.171847166,0.138314927,0.119728878,0.233760083,0.256297564,0.223945353,0.333455065,0.165025461,0.182184194,0.254764034,0.27464891,0.27089259,0.158834848
Region 7,0.219802287,0.17532884,0.178561713,0.245769268,0.139203748,0.047016843,0.14552163,0.218217187,0.249454047,0.250418479,0.074159076,0.487073456,0.293362155,0.33511573,0.254541121,0.30377611,0.276652363,0.185838219,0.1664021,0.11951005,0.222173427,0.307560773,0.302696645,0.468125497,0.161715426,0.137248292,0.083488741,0.13586211,0.245525172,0.223248961,0.06583077,0.140085444,0.297942854,0.289495108,0.175310595,0.274385267,0.345353012,0.328637371,0.345638802,0.523516937,0.521051184,0.346373815,0.276881813,0.36279193,0.485707334,0.613141269,0.438418177,0.457649191,0.336456118,0.435079123,0.458046104,0.465705662,0.359744573,0.436863977,0.41460912,0.318444231,0.364487886,0.461043742,0.438915725,0.474311555,0.382185706,0.272100856,0.381856265,0.432404469,0.383306183,0.428894071,0.250944984,0.3380108,0.312502834,0.441609419,0.45165631,0.497735669
Region 8,0.069054798,0.059602077,0.071814192,0.123013734,0.078819686,0.027479184,0.092026014,0.104567977,0.15761229,0.140322145,-0.049601332,0.145283601,0.10091308,0.209993828,0.174326124,0.160599271,0.173293171,0.165606175,0.110130247,0.057971388,0.107068495,0.193085032,0.161436202,0.193293383,-0.008400842,-0.000119509,0.003319071,0.017191134,0.125848654,0.106451683,-0.132027133,0.034538725,0.245588439,0.172073159,0.024176931,0.043849846,0.145237684,0.154256333,0.197525503,0.363809588,0.374363827,0.222963443,0.198257292,0.310705212,0.34822022,0.506728968,0.30253164,0.205344813,0.189206383,0.281398562,0.320019445,0.363838369,0.239432019,0.339455784,0.354503455,0.23174883,0.290959465,0.365256892,0.268620957,0.186010283,0.171576186,0.160930798,0.263773172,0.258125392,0.282609693,0.303235821,0.152183873,0.174733428,0.223991278,0.307967228,0.26342069,0.179807842
Region 9,0.186615647,0.18553873,0.207523047,0.364448715,0.165327106,0.174425304,0.147080156,0.181626321,0.208613087,0.23483943,0.068089385,0.354201748,0.259500248,0.386912039,0.404376242,0.301441668,0.24819286,0.2099109,0.249980928,0.102788049,0.201831264,0.309222492,0.276904442,0.30950098,0.120302702,0.0748898,0.124589253,0.131597883,0.224965091,0.16930568,0.102847005,0.163954692,0.281527114,0.253952819,0.163815817,0.199273328,0.258390439,0.256505532,0.279039128,0.570485869,0.413793449,0.277817357,0.303557301,0.373309927,0.397846609,0.548118214,0.401227985,0.35301184,0.294052096,0.366699047,0.427091218,0.44504698,0.330306702,0.331921666,0.432162436,0.31509331,0.381003199,0.427672798,0.359875283,0.334172685,0.268698491,0.272504038,0.305133927,0.344370626,0.305232887,0.323272707,0.211100386,0.233715012,0.325548322,0.356958591,0.321840048,0.249098745
Region 10,0.053524579,0.050294435,0.060353853,0.115982504,0.072805527,0.050876774,0.058232214,0.114890014,0.135815787,0.127043724,-0.083075048,0.139070026,0.088241477,0.197351188,0.166209755,0.130900169,0.156881727,0.11631569,0.128870739,0.042433437,0.089980757,0.193614658,0.151658848,0.170390341,-0.028139335,-0.023172709,-4.82E-05,-0.013613288,0.087585766,0.061207097,-0.022253931,0.045857848,0.159746827,0.142856802,-0.004858733,0.022573077,0.141427607,0.157445423,0.180372681,0.208328739,0.392116679,0.2823576,0.21180071,0.324595624,0.340875462,0.492562184,0.313730281,0.206645239,0.195443064,0.274456536,0.311618917,0.349196715,0.268759043,0.335535328,0.302911219,0.254464994,0.259083351,0.382313096,0.256764806,0.18562302,0.17430762,0.165279612,0.248497127,0.26158001,0.262467185,0.322303586,0.191139972,0.164643322,0.222238867,0.299287064,0.27022144,0.139909632
